iter	MultiClass	Accuracy	TotalF1
0	0.9469495133	0.9559388685	0.9344045819
4	0.6006630913	0.9559388685	0.9344045819
8	0.4317270629	0.9559388685	0.9344045819
12	0.3364719347	0.9559388685	0.9344045819
16	0.2781098427	0.9559388685	0.9344045819
20	0.2439381157	0.9559388685	0.9344045819
24	0.2203458622	0.9559388685	0.9344045819
28	0.2015659793	0.9559388685	0.9344045819
32	0.1912399593	0.9559388685	0.9344045819
36	0.1824476896	0.9559388685	0.9344045819
40	0.1760109782	0.9559388685	0.9344045819
44	0.1718613906	0.9559551183	0.9344448253
48	0.1687573168	0.9560038674	0.9345653275
52	0.166381447	0.956028242	0.9346254509
56	0.1647148927	0.956150115	0.9349718274
60	0.1634974574	0.9562313636	0.935235392
64	0.1628985848	0.9563451117	0.9355420412
68	0.1617374158	0.9564344852	0.9358037734
72	0.1612032944	0.9564751095	0.9360851973
76	0.1608823418	0.9564913592	0.9361734109
80	0.1602149008	0.956564483	0.9363642186
84	0.1596645293	0.9566051073	0.9365768489
88	0.1594183216	0.9566701062	0.9367889674
92	0.1591985884	0.9567351051	0.9370003957
96	0.1587387707	0.9567676045	0.9371093434
100	0.1584690072	0.9567594797	0.937193046
104	0.1582552399	0.9568407283	0.9373934974
