iter	Passed	Remaining
0	459	918318
1	780	779601
2	977	650779
3	1062	530135
4	1118	446387
5	1230	409082
6	1626	463198
7	1837	457523
8	2080	460186
9	2374	472509
10	2446	442443
11	2724	451304
12	2792	426893
13	3019	428303
14	3271	432949
15	3472	430639
16	3717	433681
17	3925	432206
18	3958	412754
19	4019	397904
20	4212	396963
21	4450	400128
22	4679	402211
23	4852	399513
24	4900	387167
25	5156	391490
26	5374	392726
27	5583	393228
28	5798	394078
29	5867	385318
30	5951	378018
31	6173	379647
32	6420	382730
33	6638	383856
34	6818	382816
35	7012	382592
36	7195	381725
37	7420	383114
38	7609	382645
39	7738	379180
40	7966	380640
41	8175	381114
42	8378	381317
43	8614	382954
44	8813	382883
45	8998	382225
46	9232	383621
47	9473	385263
48	9669	385008
49	9871	385000
50	10016	382783
51	10183	381489
52	10390	381705
53	10589	381604
54	10781	381274
55	10992	381605
56	11280	384509
57	11555	386893
58	11837	389433
59	12162	393247
60	13173	418751
61	13323	416461
62	13518	415627
63	13732	415399
64	13937	414921
65	14125	413918
66	14342	413783
67	14563	413761
68	14807	414406
69	15085	415931
70	15277	415084
71	15481	414561
72	15650	413133
73	15917	414273
74	16165	414904
75	16415	415581
76	16633	415397
77	16886	416108
78	17133	416637
79	17414	417951
80	17529	415290
81	17778	415851
82	17995	415634
83	18148	413950
84	18402	414587
85	18718	416592
86	18996	417700
87	19237	417976
88	19453	417709
89	19703	418153
90	19899	417455
91	20146	417811
92	20205	414326
93	20389	413439
94	20642	413927
95	20943	415379
96	21231	416530
97	21366	414693
98	21616	415076
99	22036	418700
100	22429	421726
101	22802	424300
102	23325	429601
103	23792	433749
104	23946	432185
